date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:27:43	584/584	---MCZ	200	added ('OK')	text/plain	etag:W/%2211a2eb-63a-5ab65f190293a%22	https://www.cud.ac.ae/robots.txt		(from )
14:27:43	151316/151316	---MCZ	200	added ('OK')	text/html	date:Sun,%2013%20Nov%202022%2008:58:45%20GMT	https://www.cud.ac.ae/	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day19/Web91/Site91/www.cud.ac.ae/index.html	(from )
14:27:44	5686/5686	---MCZ	200	added ('OK')	image/x-icon	etag:W/%221d54af-1636-5ab65d0f6fa0a%22	https://www.cud.ac.ae/themes/indicud/favicon.ico	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day19/Web91/Site91/www.cud.ac.ae/themes/indicud/favicon.ico	(from https://www.cud.ac.ae/)
14:27:44	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Sun,%2013%20Nov%202022%2008:58:46%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day19/Web91/Site91/www.googletagmanager.com/gtm.15445.delayed	(from https://www.cud.ac.ae/)
14:27:44	6080/6080	---M--	200	added ('OK')	application/x-javascript	etag:%22a2d639123c96d81:0%22	http://img06.en25.com/i/elqCfg.min.js	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day19/Web91/Site91/img06.en25.com/i/elqCfg.min.js	(from https://www.cud.ac.ae/)
14:27:44	79171/79171	---MCZ	200	added ('OK')	text/css	etag:W/%2232c986-13543-5ec1187b2bb6f%22	https://www.cud.ac.ae/sites/default/files/css/css_kbTZyTf9UAIMRZxO11gycDqjmJCxgLd3zebs6J6tJhg.css	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day19/Web91/Site91/www.cud.ac.ae/sites/default/files/css/css_kbTZyTf9UAIMRZxO11gycDqjmJCxgLd3zebs6J6tJhg.css	(from https://www.cud.ac.ae/)
14:27:45	23739/23739	---M-Z	200	added ('OK')	text/css	etag:%225eb03e5f-5cbb%22	http://cdnjs.cloudflare.com/ajax/libs/font-awesome/4.3.0/css/font-awesome.min.css	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day19/Web91/Site91/cdnjs.cloudflare.com/ajax/libs/font-awesome/4.3.0/css/font-awesome.min.css	(from https://www.cud.ac.ae/)
14:27:45	139143/139143	---MCZ	200	added ('OK')	text/css	etag:W/%2232c88e-21f87-5ec1187a72fb4%22	https://www.cud.ac.ae/sites/default/files/css/css_nnx4V1oymteGlm8S4ruUYgRQoJkUePZYoh20oDxr81M.css	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day19/Web91/Site91/www.cud.ac.ae/sites/default/files/css/css_nnx4V1oymteGlm8S4ruUYgRQoJkUePZYoh20oDxr81M.css	(from https://www.cud.ac.ae/)
14:27:46	678116/678116	---MCZ	200	added ('OK')	text/css	etag:W/%2232c893-a58e4-5ec1187a7beef%22	https://www.cud.ac.ae/sites/default/files/css/css_1CV8TghWNHAI1V3YbLySgSX_Yuyj7RTSYBjyhG0Q_IM.css	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day19/Web91/Site91/www.cud.ac.ae/sites/default/files/css/css_1CV8TghWNHAI1V3YbLySgSX_Yuyj7RTSYBjyhG0Q_IM.css	(from https://www.cud.ac.ae/)
14:27:47	6239/6239	---MCZ	200	added ('OK')	application/javascript	etag:W/%2263490024-1852%22	http://rum-static.pingdom.net/pa-6049b735cad8180011000297.js	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day19/Web91/Site91/rum-static.pingdom.net/pa-6049b735cad8180011000297.js	(from https://www.cud.ac.ae/)
14:27:47	14401/14401	---MCZ	200	added ('OK')	application/javascript	etag:W/%2232c9b7-3841-5ec1187b4350a%22	https://www.cud.ac.ae/sites/default/files/js/js_QHqjxhGPGgZFwOfW92tmrVpssmC1sbO0zDG4TgLmaEI.js	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day19/Web91/Site91/www.cud.ac.ae/sites/default/files/js/js_QHqjxhGPGgZFwOfW92tmrVpssmC1sbO0zDG4TgLmaEI.js	(from https://www.cud.ac.ae/)
14:27:48	102540/102540	---MCZ	200	added ('OK')	text/html	etag:W/%221668325964%22	https://www.cud.ac.ae/covid19-info	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day19/Web91/Site91/www.cud.ac.ae/covid19-info.html	(from https://www.cud.ac.ae/)
14:27:48	106943/106943	---MCZ	200	added ('OK')	text/html	etag:W/%221668321802%22	https://www.cud.ac.ae/about	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day19/Web91/Site91/www.cud.ac.ae/about.html	(from https://www.cud.ac.ae/)
14:27:48	107439/107439	---MCZ	200	added ('OK')	text/html	etag:W/%221668328453%22	https://www.cud.ac.ae/about/mission-and-vision	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day19/Web91/Site91/www.cud.ac.ae/about/mission-and-vision.html	(from https://www.cud.ac.ae/)
14:27:48	110143/110143	---MCZ	200	added ('OK')	text/html	etag:W/%221668322550%22	https://www.cud.ac.ae/why-cud	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day19/Web91/Site91/www.cud.ac.ae/why-cud.html	(from https://www.cud.ac.ae/)
14:27:49	104354/104354	---MCZ	200	added ('OK')	text/html	etag:W/%221668329930%22	https://www.cud.ac.ae/about/facts-and-history	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day19/Web91/Site91/www.cud.ac.ae/about/facts-and-history.html	(from https://www.cud.ac.ae/)
14:27:49	98888/98888	---MCZ	200	added ('OK')	text/html	etag:W/%221668323859%22	https://www.cud.ac.ae/international-education/study-canada	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day19/Web91/Site91/www.cud.ac.ae/international-education/study-canada.html	(from https://www.cud.ac.ae/)
14:27:49	105857/105857	---MCZ	200	added ('OK')	text/html	etag:W/%221668327917%22	https://www.cud.ac.ae/downloads/university-publications	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day19/Web91/Site91/www.cud.ac.ae/downloads/university-publications.html	(from https://www.cud.ac.ae/)
14:27:49	108480/108480	---MCZ	200	added ('OK')	text/html	etag:W/%221668328952%22	https://www.cud.ac.ae/newsletters/chancellors	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day19/Web91/Site91/www.cud.ac.ae/newsletters/chancellors.html	(from https://www.cud.ac.ae/)
14:27:50	106963/106963	---MCZ	200	added ('OK')	text/html	etag:W/%221668329931%22	https://www.cud.ac.ae/department/institutional-research-and-planning	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day19/Web91/Site91/www.cud.ac.ae/department/institutional-research-and-planning.html	(from https://www.cud.ac.ae/)
14:27:50	102759/102759	---MCZ	200	added ('OK')	text/html	etag:W/%221668328628%22	https://www.cud.ac.ae/about/academic-staff	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day19/Web91/Site91/www.cud.ac.ae/about/academic-staff.html	(from https://www.cud.ac.ae/)
14:27:50	109129/109129	---MCZ	200	added ('OK')	text/html	etag:W/%221668326368%22	https://www.cud.ac.ae/careers	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day19/Web91/Site91/www.cud.ac.ae/careers.html	(from https://www.cud.ac.ae/)
14:27:50	106135/106135	---MCZ	200	added ('OK')	text/html	etag:W/%221668325910%22	https://www.cud.ac.ae/admissions	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day19/Web91/Site91/www.cud.ac.ae/admissions.html	(from https://www.cud.ac.ae/)
14:27:51	105897/105897	---MCZ	200	added ('OK')	text/html	etag:W/%221668321805%22	https://www.cud.ac.ae/prospective-students	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day19/Web91/Site91/www.cud.ac.ae/prospective-students.html	(from https://www.cud.ac.ae/)
14:27:51	141638/141638	---MCZ	200	added ('OK')	text/html	etag:W/%221668328260%22	https://www.cud.ac.ae/prospective-students/undergraduate	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day19/Web91/Site91/www.cud.ac.ae/prospective-students/undergraduate.html	(from https://www.cud.ac.ae/)
14:27:52	106142/106142	---MCZ	200	added ('OK')	text/html	etag:W/%221668329933%22	https://www.cud.ac.ae/prospective-students/deadline-for-admission	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day19/Web91/Site91/www.cud.ac.ae/prospective-students/deadline-for-admission.html	(from https://www.cud.ac.ae/)
14:27:52	108874/108874	---MCZ	200	added ('OK')	text/html	etag:W/%221668328438%22	https://www.cud.ac.ae/registration	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day19/Web91/Site91/www.cud.ac.ae/registration.html	(from https://www.cud.ac.ae/)
14:27:52	154324/154324	---MCZ	200	added ('OK')	text/html	etag:W/%221668324075%22	https://www.cud.ac.ae/academic-calendar	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day19/Web91/Site91/www.cud.ac.ae/academic-calendar.html	(from https://www.cud.ac.ae/)
14:27:52	168364/168364	---MCZ	200	added ('OK')	text/html	etag:W/%221668324075%22	https://www.cud.ac.ae/fees	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day19/Web91/Site91/www.cud.ac.ae/fees.html	(from https://www.cud.ac.ae/)
14:27:52	106861/106861	---MCZ	200	added ('OK')	text/html	etag:W/%221668323553%22	https://www.cud.ac.ae/prospective-students/requirements-and-placement-tests	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day19/Web91/Site91/www.cud.ac.ae/prospective-students/requirements-and-placement-tests.html	(from https://www.cud.ac.ae/)
14:27:52	120104/120104	---MCZ	200	added ('OK')	text/html	etag:W/%221668321014%22	https://www.cud.ac.ae/scholarships	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day19/Web91/Site91/www.cud.ac.ae/scholarships.html	(from https://www.cud.ac.ae/)
14:27:53	109331/109331	---MCZ	200	added ('OK')	text/html	etag:W/%221668329934%22	https://www.cud.ac.ae/fees/student-visa	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day19/Web91/Site91/www.cud.ac.ae/fees/student-visa.html	(from https://www.cud.ac.ae/)
14:27:53	107132/107132	---MCZ	200	added ('OK')	text/html	etag:W/%221668329935%22	https://www.cud.ac.ae/contact?src=webform&o=main-website&so=menu	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day19/Web91/Site91/www.cud.ac.ae/contact42f9.html	(from https://www.cud.ac.ae/)
14:27:54	110512/110512	---MCZ	200	added ('OK')	text/html	etag:W/%221668329935%22	https://www.cud.ac.ae/lrc	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day19/Web91/Site91/www.cud.ac.ae/lrc.html	(from https://www.cud.ac.ae/)
14:27:55	110292/110292	---MCZ	200	added ('OK')	text/html	etag:W/%221668329936%22	https://www.cud.ac.ae/life-on-campus/accommodation	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day19/Web91/Site91/www.cud.ac.ae/life-on-campus/accommodation.html	(from https://www.cud.ac.ae/)
14:27:55	115216/115216	---MCZ	200	added ('OK')	text/html	etag:W/%221668329936%22	https://www.cud.ac.ae/testimonials	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day19/Web91/Site91/www.cud.ac.ae/testimonials.html	(from https://www.cud.ac.ae/)
14:27:56	104926/104926	---MCZ	200	added ('OK')	text/html	etag:W/%221668329937%22	https://www.cud.ac.ae/prospective-students/graduate-programs-intake	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day19/Web91/Site91/www.cud.ac.ae/prospective-students/graduate-programs-intake.html	(from https://www.cud.ac.ae/)
14:27:56	105896/105896	---MCZ	200	added ('OK')	text/html	etag:W/%221668325687%22	https://www.cud.ac.ae/current-students	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day19/Web91/Site91/www.cud.ac.ae/current-students.html	(from https://www.cud.ac.ae/)
14:27:57	111703/111703	---MCZ	200	added ('OK')	text/html	etag:W/%221668329938%22	https://www.cud.ac.ae/frequently-asked-questions	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day19/Web91/Site91/www.cud.ac.ae/frequently-asked-questions.html	(from https://www.cud.ac.ae/)
14:27:57	121929/121929	---MCZ	200	added ('OK')	text/html	etag:W/%221668325432%22	https://www.cud.ac.ae/faculties-and-departments	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day19/Web91/Site91/www.cud.ac.ae/faculties-and-departments.html	(from https://www.cud.ac.ae/)
14:27:57	124870/124870	---MCZ	200	added ('OK')	text/html	etag:W/%221668328108%22	https://www.cud.ac.ae/faculties-and-departments/architecture-and-interior-design/architecture	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day19/Web91/Site91/www.cud.ac.ae/faculties-and-departments/architecture-and-interior-design/architecture.html	(from https://www.cud.ac.ae/)
14:27:57	132363/132363	---MCZ	200	added ('OK')	text/html	etag:W/%221668324511%22	https://www.cud.ac.ae/faculties-and-departments/management/undergraduate	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day19/Web91/Site91/www.cud.ac.ae/faculties-and-departments/management/undergraduate.html	(from https://www.cud.ac.ae/)
14:27:57	139839/139839	---MCZ	200	added ('OK')	text/html	etag:W/%221668321810%22	https://www.cud.ac.ae/faculties-and-departments/communication-arts-and-sciences/communication	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day19/Web91/Site91/www.cud.ac.ae/faculties-and-departments/communication-arts-and-sciences/communication.html	(from https://www.cud.ac.ae/)
14:27:58	127499/127499	---MCZ	200	added ('OK')	text/html	etag:W/%221668323912%22	https://www.cud.ac.ae/faculties-and-departments/engineering-applied-science-and-technology/computer-engineering-and-computational-sciences	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day19/Web91/Site91/www.cud.ac.ae/faculties-and-departments/engineering-applied-science-and-technology/computer-engineering-and-computational-sciences.html	(from https://www.cud.ac.ae/)
14:27:58	122538/122538	---MCZ	200	added ('OK')	text/html	etag:W/%221668327581%22	https://www.cud.ac.ae/faculties-and-departments/engineering-applied-science-and-technology/electrical-engineering	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day19/Web91/Site91/www.cud.ac.ae/faculties-and-departments/engineering-applied-science-and-technology/electrical-engineering.html	(from https://www.cud.ac.ae/)
14:27:58	124050/124050	---MCZ	200	added ('OK')	text/html	etag:W/%221668325905%22	https://www.cud.ac.ae/faculties-and-departments/communication-arts-and-sciences/environmental-health-sciences	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day19/Web91/Site91/www.cud.ac.ae/faculties-and-departments/communication-arts-and-sciences/environmental-health-sciences.html	(from https://www.cud.ac.ae/)
14:27:59	128125/128125	---MCZ	200	added ('OK')	text/html	etag:W/%221668329940%22	https://www.cud.ac.ae/faculties-and-departments/architecture-and-interior-design/interior-design	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day19/Web91/Site91/www.cud.ac.ae/faculties-and-departments/architecture-and-interior-design/interior-design.html	(from https://www.cud.ac.ae/)
14:27:59	118278/118278	---MCZ	200	added ('OK')	text/html	etag:W/%221668326689%22	https://www.cud.ac.ae/faculties-and-departments/communication-arts-and-sciences/social-sciences	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day19/Web91/Site91/www.cud.ac.ae/faculties-and-departments/communication-arts-and-sciences/social-sciences.html	(from https://www.cud.ac.ae/)
14:27:59	126567/126567	---MCZ	200	added ('OK')	text/html	etag:W/%221668324954%22	https://www.cud.ac.ae/faculties-and-departments/management/graduate	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day19/Web91/Site91/www.cud.ac.ae/faculties-and-departments/management/graduate.html	(from https://www.cud.ac.ae/)
14:27:59	123796/123796	---MCZ	200	added ('OK')	text/html	etag:W/%221668324319%22	https://www.cud.ac.ae/faculties-and-departments/management/graduate/master-of-business-administration	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day19/Web91/Site91/www.cud.ac.ae/faculties-and-departments/management/graduate/master-of-business-administration.html	(from https://www.cud.ac.ae/)
14:28:00	618/618	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2013%20Nov%202022%2008:59:01%20GMT	https://www.cud.ac.ae/programs/masters/management/master-of-information-technology-management-and-governance	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day19/Web91/Site91/www.cud.ac.ae/programs/masters/management/master-of-information-technology-management-and-governance	(from https://www.cud.ac.ae/)
14:28:00	113406/113406	---MCZ	200	added ('OK')	text/html	etag:W/%221668325921%22	https://www.cud.ac.ae/programs/masters/management/master-of-information-technology-management	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day19/Web91/Site91/www.cud.ac.ae/programs/masters/management/master-of-information-technology-management.html	(from https://www.cud.ac.ae/)
14:28:00	256182/256182	---MCZ	200	added ('OK')	text/html	etag:W/%221668324972%22	https://www.cud.ac.ae/programs	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day19/Web91/Site91/www.cud.ac.ae/programs.html	(from https://www.cud.ac.ae/)
14:28:00	102472/102472	---MCZ	200	added ('OK')	text/html	etag:W/%221668326674%22	https://www.cud.ac.ae/lifelong-learning	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day19/Web91/Site91/www.cud.ac.ae/lifelong-learning.html	(from https://www.cud.ac.ae/)
14:28:01	97638/97638	---MCZ	200	added ('OK')	text/html	etag:W/%221668329942%22	https://www.cud.ac.ae/downloads/undergraduate-handbook	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day19/Web91/Site91/www.cud.ac.ae/downloads/undergraduate-handbook.html	(from https://www.cud.ac.ae/)
14:28:01	97564/97564	---MCZ	200	added ('OK')	text/html	etag:W/%221668328837%22	https://www.cud.ac.ae/downloads/masters-handbook	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day19/Web91/Site91/www.cud.ac.ae/downloads/masters-handbook.html	(from https://www.cud.ac.ae/)
14:28:02	105193/105193	---MCZ	200	added ('OK')	text/html	etag:W/%221668329943%22	https://www.cud.ac.ae/life-on-campus	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day19/Web91/Site91/www.cud.ac.ae/life-on-campus.html	(from https://www.cud.ac.ae/)
14:28:02	110019/110019	---MCZ	200	added ('OK')	text/html	etag:W/%221668329943%22	https://www.cud.ac.ae/life-on-campus/facilities	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day19/Web91/Site91/www.cud.ac.ae/life-on-campus/facilities.html	(from https://www.cud.ac.ae/)
